Crm_Id,Crm_Desc
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
954,CONTRIBUTING
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
949,ILLEGAL DUMPING
948,BIGAMY
946,OTHER MISCELLANEOUS CRIME
944,CONSPIRACY
943,CRUELTY TO ANIMALS
942,BRIBERY
940,EXTORTION
933,PROWLER
932,PEEPING TOM
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
928,THREATENING PHONE CALLS/LETTERS
924,TELEPHONE PROPERTY - DAMAGE
922,CHILD STEALING
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
920,KIDNAPPING - GRAND ATTEMPT
910,KIDNAPPING
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
903,CONTEMPT OF COURT
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
901,VIOLATION OF RESTRAINING ORDER
900,VIOLATION OF COURT ORDER
890,FAILURE TO YIELD
888,TRESPASSING
886,DISTURBING THE PEACE
884,FAILURE TO DISPERSE
882,INCITING A RIOT
880,DISRUPT SCHOOL
870,CHILD ABANDONMENT
865,"DRUGS, TO A MINOR"
860,BATTERY WITH SEXUAL CONTACT
850,INDECENT EXPOSURE
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
820,ORAL COPULATION
815,SEXUAL PENETRATION W/FOREIGN OBJECT
814,CHILD PORNOGRAPHY
813,CHILD ANNOYING (17YRS & UNDER)
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
806,PANDERING
805,PIMPING
763,STALKING
762,LEWD CONDUCT
761,BRANDISH WEAPON
760,LEWD/LASCIVIOUS ACTS WITH CHILD
756,WEAPONS POSSESSION/BOMBING
755,BOMB SCARE
753,DISCHARGE FIREARMS/SHOTS FIRED
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
666,"BUNCO, ATTEMPT"
664,"BUNCO, PETTY THEFT"
662,"BUNCO, GRAND THEFT"
661,UNAUTHORIZED COMPUTER ACCESS
660,COUNTERFEIT
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
652,DOCUMENT WORTHLESS ($200 & UNDER)
651,DOCUMENT WORTHLESS ($200.01 & OVER)
649,DOCUMENT FORGERY / STOLEN FELONY
648,ARSON
647,THROWING OBJECT AT MOVING VEHICLE
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
626,INTIMATE PARTNER - SIMPLE ASSAULT
625,OTHER ASSAULT
624,BATTERY - SIMPLE ASSAULT
623,BATTERY POLICE (SIMPLE)
622,BATTERY ON A FIREFIGHTER
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
520,VEHICLE - ATTEMPT STOLEN
510,VEHICLE - STOLEN
487,BOAT - STOLEN
485,BIKE - ATTEMPTED STOLEN
480,BIKE - STOLEN
475,"THEFT, COIN MACHINE - ATTEMPT"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
471,TILL TAP - PETTY ($950 & UNDER)
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
452,"PICKPOCKET, ATTEMPT"
451,PURSE SNATCHING - ATTEMPT
450,THEFT FROM PERSON - ATTEMPT
446,PETTY THEFT - AUTO REPAIR
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
444,DISHONEST EMPLOYEE - PETTY THEFT
443,SHOPLIFTING - ATTEMPT
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
441,THEFT PLAIN - ATTEMPT
440,THEFT PLAIN - PETTY ($950 & UNDER)
439,FALSE POLICE REPORT
438,RECKLESS DRIVING
437,RESISTING ARREST
436,LYNCHING - ATTEMPTED
435,LYNCHING
434,FALSE IMPRISONMENT
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
432,BLOCKING DOOR INDUCTION CENTER
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
354,THEFT OF IDENTITY
353,DRUNK ROLL
352,PICKPOCKET
351,PURSE SNATCHING
350,"THEFT, PERSON"
349,GRAND THEFT / AUTO REPAIR
347,GRAND THEFT / INSURANCE FRAUD
345,DISHONEST EMPLOYEE - GRAND THEFT
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
330,BURGLARY FROM VEHICLE
320,"BURGLARY, ATTEMPTED"
310,BURGLARY
251,SHOTS FIRED AT INHABITED DWELLING
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
237,CHILD NEGLECT (SEE 300 W.I.C.)
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
220,ATTEMPTED ROBBERY
210,ROBBERY
122,"RAPE, ATTEMPTED"
121,"RAPE, FORCIBLE"
113,"MANSLAUGHTER, NEGLIGENT"
110,CRIMINAL HOMICIDE
